group	configuration	cargo_exit_code	log_exit_code	harness_exit_code	elapsed_seconds	log	reason
default-small-semantics	default	0	0	0	135	<scratch>	ok
default-lifecycle	default	0	0	0	2	<scratch>	ok
default-admission	default	0	0	0	15	<scratch>	ok
default-family-write-faults	default	0	0	0	45	<scratch>	ok
default-quantized-write-faults	default	0	0	0	2	<scratch>	ok
default-small-scalar-query	default	0	0	0	18	<scratch>	ok
default-small-multimodel-query	default	0	0	0	45	<scratch>	ok
default-current-source-reader	default	0	0	0	0	<scratch>	ok
default-index-verifier-rebuild	default	0	0	0	70	<scratch>	ok
retained-small-semantics	retained	0	0	0	171	<scratch>	ok
retained-lifecycle	retained	0	0	0	3	<scratch>	ok
retained-admission	retained	0	0	0	17	<scratch>	ok
retained-family-write-faults	retained	0	0	0	61	<scratch>	ok
retained-quantized-write-faults	retained	0	0	0	2	<scratch>	ok
retained-small-scalar-query	retained	0	0	0	20	<scratch>	ok
retained-small-multimodel-query	retained	0	0	0	49	<scratch>	ok
retained-current-source-reader	retained	0	0	0	1	<scratch>	ok
retained-index-verifier-rebuild	retained	0	0	0	74	<scratch>	ok
